ITEM_ID,USER_ID,EVENT_TYPE,TIMESTAMP,DISCOUNT
310832010,4757,allonline_purchase_complete,1591804708,Yes
369505010,3267,allonline_purchase_complete,1591805673,No
305688010,817,allonline_purchase_complete,1591806599,No
350384010,4447,allonline_purchase_complete,1591807589,Yes
352323010,3607,allonline_purchase_complete,1591808513,No
299201010,666,allonline_purchase_complete,1591809486,Yes
392324010,332,allonline_purchase_complete,1591810439,Yes
160562010,2559,allonline_purchase_complete,1591811363,No
356372010,3651,allonline_purchase_complete,1591812287,Yes
337666010,2560,allonline_purchase_complete,1591813251,Yes
388875010,7275,allonline_purchase_complete,1591814218,No
366839010,1420,allonline_purchase_complete,1591815156,No
156272140,778,allonline_purchase_complete,1591816121,No
391654010,4700,allonline_purchase_complete,1591817064,No
373989010,447,allonline_purchase_complete,1591818977,No
175572030,5951,allonline_purchase_complete,1591819915,Yes
359943010,1277,allonline_purchase_complete,1591820848,No
388046010,456,allonline_purchase_complete,1591823684,No
391571010,6560,allonline_purchase_complete,1591824653,Yes
388877010,3207,allonline_purchase_complete,1591825632,No
362437010,8473,allonline_purchase_complete,1591826576,Yes
393801010,2354,allonline_purchase_complete,1591827528,Yes
355065010,6574,allonline_purchase_complete,1591828491,Yes
381476010,3496,allonline_purchase_complete,1591831324,No
362989010,251,allonline_purchase_complete,1591832292,Yes
383369010,1109,allonline_purchase_complete,1591833206,Yes
358951010,4413,allonline_purchase_complete,1591834190,Yes
147613010,2691,allonline_purchase_complete,1591835099,No
395925010,8351,allonline_purchase_complete,1591836094,Yes
395917010,4386,allonline_purchase_complete,1591837022,Yes
350938010,2606,allonline_purchase_complete,1591837969,No
391654010,845,allonline_purchase_complete,1591838919,No
390163010,8704,allonline_purchase_complete,1591841722,No
393139010,1865,allonline_purchase_complete,1591842669,No
362436010,568,allonline_purchase_complete,1591843672,No
341342010,1914,allonline_purchase_complete,1591844613,No
357135010,4858,allonline_purchase_complete,1591845581,No
337659010,381,allonline_purchase_complete,1591848382,No
391608010,4640,allonline_purchase_complete,1591849370,Yes
181445030,1913,allonline_purchase_complete,1591850330,Yes
356662010,6917,allonline_purchase_complete,1591851262,No
345453010,128,allonline_purchase_complete,1591852207,No
395884010,8037,allonline_purchase_complete,1591853151,Yes
351068010,8257,allonline_purchase_complete,1591854066,Yes
260965010,2606,allonline_purchase_complete,1591855064,No
355218010,2953,allonline_purchase_complete,1591856000,Yes
350520010,5402,allonline_purchase_complete,1591856979,No
347157010,7004,allonline_purchase_complete,1591857912,No
376455010,5404,allonline_purchase_complete,1591858881,Yes
350537010,5479,allonline_purchase_complete,1591859842,No
396436010,7251,allonline_purchase_complete,1591860772,No
350243010,5783,allonline_purchase_complete,1591861724,Yes
