ITEM_ID,USER_ID,EVENT_TYPE,TIMESTAMP,DISCOUNT
383365010,8726,allonline_add_to_cart,1591804031,No
227865010,8323,allonline_add_to_cart,1591804482,No
400340010,8072,allonline_add_to_cart,1591804972,No
369505010,3267,allonline_add_to_cart,1591805668,No
400334010,2514,allonline_add_to_cart,1591805917,No
310832010,25,allonline_add_to_cart,1591806150,No
369505010,2715,allonline_add_to_cart,1591806395,Yes
305688010,817,allonline_add_to_cart,1591806591,No
305674010,1603,allonline_add_to_cart,1591806882,Yes
391205010,1897,allonline_add_to_cart,1591807062,No
382831010,689,allonline_add_to_cart,1591807361,No
350384010,4447,allonline_add_to_cart,1591807575,Yes
396164010,2125,allonline_add_to_cart,1591807809,Yes
366712010,2037,allonline_add_to_cart,1591808059,Yes
384437010,3245,allonline_add_to_cart,1591808273,No
352323010,3607,allonline_add_to_cart,1591808511,No
352171010,7994,allonline_add_to_cart,1591808968,Yes
213495020,4209,allonline_add_to_cart,1591809245,No
299201010,666,allonline_add_to_cart,1591809482,Yes
218430010,4746,allonline_add_to_cart,1591809735,No
381895010,4170,allonline_add_to_cart,1591809957,No
169932010,6847,allonline_add_to_cart,1591810205,Yes
392324010,332,allonline_add_to_cart,1591810434,Yes
357393010,5536,allonline_add_to_cart,1591810664,No
376451010,626,allonline_add_to_cart,1591810888,No
379690010,3539,allonline_add_to_cart,1591811121,No
160562010,2559,allonline_add_to_cart,1591811351,No
181457050,3777,allonline_add_to_cart,1591811602,No
375079010,2325,allonline_add_to_cart,1591811829,Yes
370165010,4856,allonline_add_to_cart,1591812069,No
356372010,3651,allonline_add_to_cart,1591812285,Yes
394589010,6918,allonline_add_to_cart,1591812534,Yes
356686010,1780,allonline_add_to_cart,1591812814,Yes
393309010,5823,allonline_add_to_cart,1591813044,No
337666010,2560,allonline_add_to_cart,1591813241,Yes
363229010,5798,allonline_add_to_cart,1591813487,No
304122020,6797,allonline_add_to_cart,1591813717,No
350423010,2258,allonline_add_to_cart,1591813994,Yes
395888010,106,allonline_add_to_cart,1591814434,No
342639010,7552,allonline_add_to_cart,1591814664,No
341951010,7001,allonline_add_to_cart,1591814912,No
366839010,1420,allonline_add_to_cart,1591815145,No
393897010,862,allonline_add_to_cart,1591815376,Yes
398663010,5227,allonline_add_to_cart,1591815638,No
355967010,5116,allonline_add_to_cart,1591815882,No
156272140,778,allonline_add_to_cart,1591816114,No
304867010,6464,allonline_add_to_cart,1591816349,Yes
376819010,8422,allonline_add_to_cart,1591816571,No
361161010,1996,allonline_add_to_cart,1591816844,Yes
397668010,2222,allonline_add_to_cart,1591817296,No
358325010,427,allonline_add_to_cart,1591817518,No
826995030,4996,allonline_add_to_cart,1591818020,Yes
350930010,2226,allonline_add_to_cart,1591818254,No
290629010,688,allonline_add_to_cart,1591818497,No
